Category,Subcategory,Product Name,Regular Price,Sale Price,Product URL
Vegetables & Fruits,Vegetables,Lychee 0.50 LB,$1.99 ,$1.99 ,https://instamandi.com/products/lychee-0-50-lb
Vegetables & Fruits,Vegetables,Ivy Gourd / Tindora 1 Lb,$3.99 ,$2.49 ,https://instamandi.com/products/ivy-gourd-1-lb
Vegetables & Fruits,Vegetables,Indian Okra 1 Lb,$3.99 ,$2.49 ,https://instamandi.com/products/indian-okra-1-lb
Vegetables & Fruits,Vegetables,Chinese Okra / Turia 1 Lb,$2.99 ,$2.49 ,https://instamandi.com/products/chinese-okra-1-lb
Vegetables & Fruits,Vegetables,Indian Eggplant 1 Lb,$1.99 ,$1.49 ,https://instamandi.com/products/indian-eggplant-1-lb-1
Vegetables & Fruits,Vegetables,Long Eggplant 1 Lb,$2.99 ,$1.99 ,https://instamandi.com/products/long-eggplant-1-lb
Vegetables & Fruits,Vegetables,Bitter Melon (Karela) 1 Lb,$2.49 ,$2.49 ,https://instamandi.com/products/bitter-melon-1-lb
Vegetables & Fruits,Vegetables,Cucumber 1 ct,$0.79 ,$0.79 ,https://instamandi.com/products/cucumber-1-ct
Vegetables & Fruits,Vegetables,Beetroot (jumbo) ~1 to 1.5Lb,$0.99 ,$0.99 ,https://instamandi.com/products/beetroot-1-lb
Vegetables & Fruits,Vegetables,Roma Tomato 1 Lb,$1.49 ,$1.49 ,https://instamandi.com/products/roma-tomato-1-lb
Vegetables & Fruits,Vegetables,Round Tomato 1 to 1.5 lb,$2.49 ,$2.49 ,https://instamandi.com/products/roma-tomato-1-lb-2
Vegetables & Fruits,Vegetables,Vine Red Tomato 1 LB,$2.49 ,$2.49 ,https://instamandi.com/products/wine-tomato-1-to-1-5-lb
Vegetables & Fruits,Vegetables,Curry Leaves,$0.99 ,$0.99 ,https://instamandi.com/products/curry-leaves-pack-of-2
Vegetables & Fruits,Vegetables,Mint Leaves 1 bunch,$0.99 ,$0.99 ,https://instamandi.com/products/mint-leaves-pack-of-1
Vegetables & Fruits,Vegetables,Cilantro,$0.79 ,$0.79 ,https://instamandi.com/products/cilantro-leaves-3-bunch
Vegetables & Fruits,Vegetables,Amaranth Leaves Pack of 1,$1.99 ,$1.99 ,https://instamandi.com/products/amaranth-leaves-pack-of-1
Vegetables & Fruits,Vegetables,Spinach Bunch 1 ct,$1.99 ,$1.99 ,https://instamandi.com/products/spinach-bunch-1-ct
Vegetables & Fruits,Vegetables,Methi Leaves Little bear Pack of 1,$2.49 ,$2.49 ,https://instamandi.com/products/methi-leaves-little-bear-pack-of-1
Vegetables & Fruits,Vegetables,Gongura Leaves 0.50 LB,$2.99 ,$2.99 ,https://instamandi.com/products/gongura-leaves-pack-of-1
Vegetables & Fruits,Vegetables,Spring Onion/ Green Onion Bunch,$1.49 ,$0.49 ,https://instamandi.com/products/spring-onion-green-onion-bunch
Vegetables & Fruits,Vegetables,Florida Long Chilli 0.50 LB,$2.99 ,$2.49 ,https://instamandi.com/products/florida-long-chilli-1-2-lb
Vegetables & Fruits,Vegetables,Thai Green Chilli 0.50 LB,$0.99 ,$0.99 ,https://instamandi.com/products/thai-chilli-green-1-2-lb
Vegetables & Fruits,Vegetables,Flat Valor 1 Lb,$5.99 ,$5.99 ,https://instamandi.com/products/flat-valor-1-lb-copy-1
Vegetables & Fruits,Vegetables,Green Bell Pepper 1 lb,$2.99 ,$1.49 ,https://instamandi.com/products/green-bell-pepper-1-lb
Vegetables & Fruits,Vegetables,Chayote 2 ct,$0.99 ,$0.99 ,https://instamandi.com/products/chayote-1-lb
Vegetables & Fruits,Vegetables,Burro Banana 1 Lb,$1.99 ,$1.99 ,https://instamandi.com/products/burro-banana-1-lb
Vegetables & Fruits,Vegetables,Drumstick 0.50 LB,$2.99 ,$2.99 ,https://instamandi.com/products/drumstick-1-ct
Vegetables & Fruits,Vegetables,Chinese Bottle Gourd (Dudhi) 1-1.5 Lb,$2.99 ,$2.49 ,https://instamandi.com/products/chinese-bottle-gourd-1-1-5-lb
Vegetables & Fruits,Vegetables,Indian Bottle Gourd (Dudhi) 1 to 1.5 Lb,$3.49 ,$2.99 ,https://instamandi.com/products/indian-bottle-gourd-1-lb
Vegetables & Fruits,Vegetables,Baby Raw Mango 0.50 LB,$2.99 ,$2.99 ,https://instamandi.com/products/baby-green-mango
Vegetables & Fruits,Vegetables,Green Mango Raw 1 to 1.5 lb,$3.99 ,$3.99 ,https://instamandi.com/products/green-mango-raw-2-to-2-5-lb-copy
Vegetables & Fruits,Vegetables,Green Lime 3 Ct,$0.99 ,$0.99 ,https://instamandi.com/products/green-lime-3-ct
Vegetables & Fruits,Vegetables,Indian Yellow Cucumber (Dosakai) 1 to 1.5 Lb,$2.99 ,$1.99 ,https://instamandi.com/products/indian-yellow-cucumber-1-lb
Vegetables & Fruits,Vegetables,Snake Gourd 1 Lb,$2.99 ,$1.99 ,https://instamandi.com/products/snake-gourd-1-lb
Vegetables & Fruits,Vegetables,Chinese Radish 1.5 to 2 Lb,$2.99 ,$2.49 ,https://instamandi.com/products/chinese-radish-1-1-5-lb
Vegetables & Fruits,Vegetables,Jumbo Carrot 2 ct,$0.99 ,$0.99 ,https://instamandi.com/products/rochon-jumbo-carrot-1-lb
Vegetables & Fruits,Vegetables,Indian Red Carrot (Gajar) 1 LB,$3.49 ,$3.49 ,https://instamandi.com/products/indian-red-carrot-gajar-1-lb
Vegetables & Fruits,Vegetables,Hyacinth Bean /Desi Papdi 1 Lb,$5.99 ,$5.99 ,https://instamandi.com/products/hyacinth-bean-1-lb
Vegetables & Fruits,Vegetables,Green Beans 1 Lb,$2.99 ,$1.99 ,https://instamandi.com/products/green-beans-1-lb-1
Vegetables & Fruits,Vegetables,Cluster Beans / Guwar Beans 1 Lb,$4.99 ,$3.99 ,https://instamandi.com/products/cluster-beans-1-lb
Vegetables & Fruits,Vegetables,Green Peas (Mutter) 1 LB,$2.99 ,$2.99 ,https://instamandi.com/products/green-peas-mutter-1-lb
Vegetables & Fruits,Vegetables,Cauliflower 1 Piece,$2.99 ,$2.99 ,https://instamandi.com/products/cauliflower-1-piece
Vegetables & Fruits,Vegetables,Cabbage Green 1 Ct,$2.99 ,$1.99 ,https://instamandi.com/products/cabbage-green
Vegetables & Fruits,Vegetables,Pumpkin 1 Lb,$1.49 ,$1.49 ,https://instamandi.com/products/pumpkin-1-lb
Vegetables & Fruits,Vegetables,Ash Gourd / Winter Melon 1 Lb,$1.99 ,$0.99 ,https://instamandi.com/products/ash-gourd-1-lb
Vegetables & Fruits,Vegetables,Red Pearl Onion Bag,$2.99 ,$2.99 ,https://instamandi.com/products/red-pearl-onion-bag
Vegetables & Fruits,Vegetables,Red Onions 1 Lb,$1.99 ,$0.99 ,https://instamandi.com/products/red-onions-medium-1-lb
Vegetables & Fruits,Vegetables,Red Onion 3 Lb Bag,$2.99 ,$2.99 ,https://instamandi.com/products/red-onion-3-lb
Vegetables & Fruits,Vegetables,Yellow Onions 1 Lb,$0.79 ,$0.79 ,https://instamandi.com/products/jumbo-yellow-onions-1-lb
Vegetables & Fruits,Vegetables,Yellow Onion Bag 3 Lb,$2.49 ,$2.49 ,https://instamandi.com/products/yellow-onion-3-lb-bag
Vegetables & Fruits,Vegetables,Garlic Pack of 5,$1.99 ,$1.99 ,https://instamandi.com/products/garlic-pack-of-5
Vegetables & Fruits,Vegetables,Ginger 0.50 LB,$1.49 ,$0.99 ,https://instamandi.com/products/ginger-0-50-lb
Vegetables & Fruits,Vegetables,Indian Ginger 0.50 LB,$0.99 ,$0.99 ,https://instamandi.com/products/organic-ginger-0-50-lb
Vegetables & Fruits,Vegetables,Creamer Potatoes / Dum aloo 1 LB,$2.99 ,$1.99 ,https://instamandi.com/products/dum-aloo-1-lb
Vegetables & Fruits,Vegetables,White Potato 1 Lb,$1.49 ,$1.49 ,https://instamandi.com/products/white-potato-1-lb
Vegetables & Fruits,Vegetables,Idaho Potato 1.5 to 2 Lb,$1.49 ,$1.49 ,https://instamandi.com/products/idaho-potato-1-lb
Vegetables & Fruits,Vegetables,Sweet Potato 1 LB,$4.99 ,$3.99 ,https://instamandi.com/products/sweet-potato-1-lb
Vegetables & Fruits,Vegetables,Edo/Arbi 1 Lb,$1.49 ,$1.49 ,https://instamandi.com/products/edo-arbi-1-lb
Vegetables & Fruits,Vegetables,Curry Leaves 1 LB box,$29.99 ,$29.99 ,https://instamandi.com/products/curry-leaves-1-lb-box
Vegetables & Fruits,Vegetables,Green Vatana Fresh 1 LB,$2.99 ,$2.99 ,https://instamandi.com/products/green-vatana
Vegetables & Fruits,Fruits,Gala Apple 2 Pcs,$1.49 ,$1.49 ,https://instamandi.com/products/apple-3-pieces
Vegetables & Fruits,Fruits,Guava 1 Ct,$5.99 ,$1.99 ,https://instamandi.com/products/guava-1-lb-1
Vegetables & Fruits,Fruits,Marathon Mango 1 ct,$2.49 ,$2.49 ,https://instamandi.com/products/marathon-mango-1-ct
Vegetables & Fruits,Fruits,Orange 3 ct,$1.99 ,$1.99 ,https://instamandi.com/products/orange-6-pieces
Vegetables & Fruits,Fruits,Pomegranate 1 Piece,$3.99 ,$3.99 ,https://instamandi.com/products/pomegranate-1-piece
Vegetables & Fruits,Fruits,Ripe Papaya 1Ct,$2.99 ,$2.99 ,https://instamandi.com/products/ripe-papaya
Vegetables & Fruits,Fruits,Sugarcane Stick (cut 2 pc),$3.49 ,$3.49 ,https://instamandi.com/products/sugarcane-1-piece
Vegetables & Fruits,Fruits,Sugarcane Whole 10 Pieces,$29.99 ,$29.99 ,https://instamandi.com/products/sugarcane-whole-10-pieces
Vegetables & Fruits,Fruits,Fresh Pooja Coconut 1 Piece,$3.99 ,$2.99 ,https://instamandi.com/products/fresh-pooja-coconut-1-piece
Vegetables & Fruits,Fruits,Brown Coconut 1 Ct,$2.49 ,$2.49 ,https://instamandi.com/products/dry-coconut-1-ct
Vegetables & Fruits,Fruits,HEB Coconut 1 Ct,$2.99 ,$2.99 ,https://instamandi.com/products/heb-coconut-1-ct
Dairy,Milk,A2 Organic Whole Milk Pack of 3,$13.99 ,$13.99 ,https://instamandi.com/products/a2-organic-whole-milk-pack-of-3
Dairy,Milk,Costco Whole Milk 1 Gallon,$2.99 ,$2.99 ,https://instamandi.com/products/krikland-whole-milk-1-gal
Dairy,Milk,Costco Reduced Fat Milk 1 Gallon,$2.99 ,$2.99 ,https://instamandi.com/products/reduced-fat-milk-kirkland-1-gal
Dairy,Milk,Amul 6% Fat Whole Milk 1 Gallon,$6.99 ,$6.99 ,https://instamandi.com/products/amul-6-fat-whole-milk-1-gallon
Dairy,Cheese/Butter,Amul Cheese Slices 200 Gm,$4.99 ,$4.99 ,https://instamandi.com/products/amul-cheese-slices-200-gm
Dairy,Cheese/Butter,Amul Butter Unsalted 500 Gm,$8.99 ,$8.99 ,https://instamandi.com/products/amul-butter-unsalted-500-gm
Dairy,Cheese/Butter,Amul Butter Salted 500 Gm,$9.99 ,$9.99 ,https://instamandi.com/products/amul-butter-salted-500-gm
Dairy,Yogurts,Amul Mango Shrikhand 16 Oz,$6.99 ,$6.99 ,https://instamandi.com/products/amul-mango-shrikhand-16-oz-1
Dairy,Batters,Dosa Batter (Sri Ganesh) 30 Oz,$5.99 ,$5.99 ,https://instamandi.com/products/dosa-batter-30-oz
Dairy,Batters,Sri Ganesh Organic Dosa Batter 30 Oz,$7.99 ,$7.99 ,https://instamandi.com/products/organic-dosa-batter-sri-ganesh-30-oz
Dairy,Batters,Sri Ganesh Idli Dosa Batter 30 OZ,$5.99 ,$5.99 ,https://instamandi.com/products/sri-ganesh-idli-dosa-batter-30-oz
Dairy,Batters,Sri Ganesh Idly Batter 30 Oz,$5.99 ,$5.99 ,https://instamandi.com/products/sri-ganesh-idly-batter-30-oz
Dairy,Batters,Gandhi's Dosa Batter 30 Oz,$4.99 ,$4.99 ,https://instamandi.com/products/gandhis-dosa-batter-30-oz
Dairy,Batters,Gandhi's Idli-Dosa Batter 30 Oz,$4.99 ,$4.99 ,https://instamandi.com/products/gandhis-idli-batter-30-oz
Dairy,Batters,Zanlyn Idli /Dosa Batter 25 oz,$4.99 ,$4.99 ,https://instamandi.com/products/zanlyn-idli-dosa-batter-25-oz
Dairy,Yogurts,Desi Low Fat Yogurt 2 Lb,$4.99 ,$4.99 ,https://instamandi.com/products/desi-low-fat-yogurt-2-lb
Dairy,Yogurts,Desi Low Fat Yogurt 4 Lb,$8.99 ,$8.99 ,https://instamandi.com/products/desi-low-fat-yogurt-4-lb
Dairy,Yogurts,Desi Whole Milk Yogurt 2 Lb,$4.99 ,$4.99 ,https://instamandi.com/products/desi-whole-milk-yogurt-2-lb-4-lb
Dairy,Yogurts,Desi Whole Milk Yogurt 4 Lb,$9.99 ,$8.99 ,https://instamandi.com/products/desi-whole-milk-yogurt-4-lb
Dairy,Yogurts,Desi Organic Whole Milk Yogurt 2 Lb,$5.99 ,$5.99 ,https://instamandi.com/products/desi-organic-whole-milk-yogurt-2-lb
Dairy,Yogurts,Amul Masti Whole Milk Curd / yogurt 2.2 Lb,$4.99 ,$4.99 ,https://instamandi.com/products/amul-whole-milk-yogurt-dahi-2-2lb
Dairy,Yogurts,Gopi Low Fat Yogurt 2 LB,$4.49 ,$4.49 ,https://instamandi.com/products/gopi-low-fat-yogurt-2-lb
Dairy,Yogurts,Gopi Yogurt 2 LB,$4.49 ,$4.49 ,https://instamandi.com/products/gopi-yogurt-2-lb
Dairy,Yogurts,Gopi Yogurt 4 LB,$7.99 ,$7.99 ,https://instamandi.com/products/gopi-yogurt-4-lb
Dairy,Yogurts,Amul Masti Spiced Buttermilk / Lassi 1 Litre,$4.49 ,$4.49 ,https://instamandi.com/products/amul-masti-spiced-buttermilk-1l
Dairy,Paneer,Amul Malai Paneer Diced 200 gm,$4.49 ,$4.49 ,https://instamandi.com/products/amul-paneer-diced-200-gm
Dairy,Paneer,Amul Malai Paneer Diced 1 Kg,$15.99 ,$15.99 ,https://instamandi.com/products/amul-malai-paneer-diced-1-kg
Dairy,Paneer,Amul Malai Paneer Brick 200 GM,$4.49 ,$4.49 ,https://instamandi.com/products/amul-malai-paneer-brick-200-gm
Dairy,Paneer,Desi Paneer Low Fat Brick 12 Oz,$5.99 ,$5.99 ,https://instamandi.com/products/desi-paneer-low-fat-brick-12-oz
Dairy,Paneer,Desi Paneer Whole Milk Brick 12 Oz,$5.99 ,$5.99 ,https://instamandi.com/products/desi-paneer-whole-milk-brick-12-oz
Dairy,Paneer,Haldiram Frozen Fresh Paneer 360 Gm,$6.99 ,$6.99 ,https://instamandi.com/products/haldiram-frozen-fresh-paneer-360-gm
Dairy,Paneer,Gopi Paneer 14 Oz,$8.49 ,$6.99 ,https://instamandi.com/products/gopi-paneer-14-oz
Dairy,Paneer,Nanak Paneer 12 Oz,$5.99 ,$5.99 ,https://instamandi.com/products/nanak-paneer-12-oz-72-oz
Dairy,Paneer,Nanak Malai Paneer 12 Oz,$5.99 ,$5.99 ,https://instamandi.com/products/nanak-malai-paneer-12-oz
Meat & Eggs,Poultry,Halal Whole Chicken Cutup (skinless),$9.99 ,$9.99 ,https://instamandi.com/products/fresh-whole-chicken-cutup-halal-2-5-lb-approx
Meat & Eggs,Poultry,Halal Chicken Leg Quarter 2 Pcs (skinless) Frozen,$3.99 ,$3.99 ,https://instamandi.com/products/skinless-fresh-chicken-leg-quarter-2-pieces
Meat & Eggs,Goat,Halal Fresh Goat Mix 1 Lb,$11.99 ,$11.99 ,https://instamandi.com/products/halal-fresh-goat-mix-1-lb
Meat & Eggs,Goat,Halal Fresh Goat Leg 1 Lb,$14.99 ,$14.99 ,https://instamandi.com/products/halal-fresh-goat-leg-1-lb
Meat & Eggs,Goat,Fresh Halal Goat Ground (Kheema) 1 Lb,$12.99 ,$11.99 ,https://instamandi.com/products/fresh-halal-goat-ground-kheema-1-lb
Meat & Eggs,Goat,Goat Paya Cut Burnt 1 LB (Frozen),$6.99 ,$6.99 ,https://instamandi.com/products/goat-paya-cut-burnt-1-lb
Meat & Eggs,Poultry,Costco Organic Eggs Pack of 24,$7.99 ,$7.99 ,https://instamandi.com/products/kirkland-organic-eggs-pasture-raised-pack-of-24
Meat & Eggs,Poultry,Costco Grade A Large Eggs 24ct Cage Free,$3.99 ,$3.99 ,https://instamandi.com/products/costco-grade-a-lagre-eggs-24ct-cage-free
Meat & Eggs,Poultry,Costco Cage Free Eggs Pack of 18,$4.99 ,$4.99 ,https://instamandi.com/products/costco-cage-free-eggs-pack-of-18
Meat & Eggs,Goat,Halal Goat Ground (Kheema) 1 Lb Frozen,$8.99 ,$8.99 ,https://instamandi.com/products/halal-goat-ground-1-lb-approx-1
Meat & Eggs,Goat,Halal Goat Leg 1 Lb (Frozen),$10.99 ,$10.99 ,https://instamandi.com/products/halal-goat-leg-1-lb-frozen
Meat & Eggs,Goat,Halal Goat Mix 1 Lb (Frozen),$9.99 ,$9.99 ,https://instamandi.com/products/halal-goat-mix-1-lb-frozen
Dals & Beans,Laxmi,Laxmi Toor Dal (Vasad Madhi) 4 Lb,$8.99 ,$7.99 ,https://instamandi.com/products/laxmi-toor-dal-plain-vasad-madhi-4-lb
Dals & Beans,Laxmi,Laxmi Whole Urad Dal Black 4 Lb,$8.99 ,$8.99 ,https://instamandi.com/products/laxmi-whole-urad-dal-4-lb
Dals & Beans,Laxmi,Laxmi Urad Dal Split 4 Lb,$8.99 ,$8.99 ,https://instamandi.com/products/laxmi-urad-dal-split-4-lb
Dals & Beans,Laxmi,Laxmi Urad Gota 4 Lb,$7.99 ,$3.99 ,https://instamandi.com/products/laxmi-urad-gota-4-lb
Dals & Beans,Laxmi,Laxmi Urad Dal 4 LB,$7.99 ,$7.99 ,https://instamandi.com/products/laxmi-urad-dal-4-lb
Dals & Beans,Laxmi,Laxmi Green Vatana 4 LB,$4.99 ,$4.99 ,https://instamandi.com/products/laxmi-green-vatana-4-lb
Dals & Beans,Laxmi,Laxmi Whole Moong Small 4 LB,$8.99 ,$8.99 ,https://instamandi.com/products/laxmi-whole-moong-small-4-lb
Dals & Beans,Laxmi,Laxmi Moong Dal Split with Skin 4 LB,$7.99 ,$7.99 ,https://instamandi.com/products/laxmi-moong-dal-split-with-skin-4-lb
Dals & Beans,Laxmi,Laxmi Moong Dal 4 Lb,$7.99 ,$7.99 ,https://instamandi.com/products/laxmi-moong-dal-4-lb
Dals & Beans,Laxmi,Laxmi Chana Dal 4 Lb,$6.99 ,$5.99 ,https://instamandi.com/products/laxmi-chana-dal-4-lb
Dals & Beans,Laxmi,Laxmi Whole Masoor 4 LB,$4.99 ,$4.99 ,https://instamandi.com/products/laxmi-whole-masoor-dal-4-lb
Dals & Beans,Laxmi,Laxmi Masoor Dal 4 LB,$5.99 ,$5.99 ,https://instamandi.com/products/laxmi-masoor-dal-4-lb
Dals & Beans,Laxmi,Laxmi Kala Chana 4 LB,$6.99 ,$5.99 ,https://instamandi.com/products/laxmi-kala-chana-4-lb
Dals & Beans,Laxmi,Laxmi Kabuli Chana 4 Lb,$5.99 ,$5.99 ,https://instamandi.com/products/laxmi-kabuli-chana-4-lb
Dals & Beans,Laxmi,Laxmi Black Eyed Peas 4 LB,$8.99 ,$7.99 ,https://instamandi.com/products/laxmi-black-eyed-peas-4-lb
Dals & Beans,Laxmi,Laxmi Red Kidney Beans Light 4 Lb,$7.99 ,$7.99 ,https://instamandi.com/products/laxmi-red-kidney-beans-light-4-lb
Dals & Beans,Laxmi,Laxmi Red Kidney Beans Dark 4 LB,$9.99 ,$7.99 ,https://instamandi.com/products/laxmi-red-kidney-beans-dark-4-lb
Dals & Beans,Laxmi,Laxmi Sesame Seeds Black 400 GM,$4.49 ,$3.49 ,https://instamandi.com/products/laxmi-sesame-seeds-black-400-gm
Dals & Beans,Laxmi,Laxmi Rajma Chitra 4LB,$7.99 ,$7.99 ,https://instamandi.com/products/laxmi-rajma-chitra-4lb
Snacks,Pulla Reddy,G Pulla Reddy Telangana Spicy Mixture 170 GM,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-telangana-spicy-mixture-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Jaggery Sunundalu 250 GM,$4.49 ,$4.49 ,https://instamandi.com/products/g-pulla-reddy-jaggery-sunundalu-250-gm
Snacks,Pulla Reddy,G Pulla Reddy Janthikalu 170 GM,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-telangana-spicy-mixture-170-gm-1
Snacks,Pulla Reddy,G Pulla Reddy Andhra Chegodi 170 Gm,$2.49 ,$2.49 ,https://instamandi.com/products/g-pulla-reddy-butter-murukku-170-gm-1
Snacks,Pulla Reddy,G Pulla Reddy Palli Chekkalu 170 GM,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-palli-chekkalu-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Bandar Halwa 250 GM,$3.99 ,$3.99 ,https://instamandi.com/products/g-pulla-reddy-bandar-halwa-250-gm
Snacks,Pulla Reddy,G Pulla Reddy Andhra Mixture 170 Gm,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-andhra-mixture-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Butter Murukku 170 Gm,$2.49 ,$2.49 ,https://instamandi.com/products/g-pulla-reddy-butter-murukku-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Ribbon Pakodi 170 Gm,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-ribbon-pakodi-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Masala Peanuts 170 GM,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-masala-peanuts-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Karampusa 170 GM,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-karampusa-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Kaju Kathli 250 Gm,$6.99 ,$6.99 ,https://instamandi.com/products/g-pulla-reddy-kaju-kathli-250-gm
Snacks,Pulla Reddy,G Pulla Reddy Madras Mixture 170 Gm,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-madras-mixture-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Bellam Kaju 250 Gm,$9.99 ,$9.99 ,https://instamandi.com/products/g-pulla-reddy-bellam-kaju-170-gm
Snacks,Pulla Reddy,G Pulla Reddy Navrathan Mixture 170 Gm,$2.99 ,$2.99 ,https://instamandi.com/products/g-pulla-reddy-navrathan-mixture-170-gm
Rice & Atta,Sona Masoori,Nandi Sona Masoori Rice 20 LB,$19.99 ,$17.99 ,https://instamandi.com/products/nandi-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Nandi Crystal Sona Masoori Rice 20 LB,$22.99 ,$22.99 ,https://instamandi.com/products/nandi-crystal-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,India Gate Sona Masoori Rice 20 Lb,$24.99 ,$24.99 ,https://instamandi.com/products/india-gate-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Telugu Foods Sona Masuri Rice 10 LB,$11.99 ,$11.99 ,https://instamandi.com/products/telugu-foods-sona-masuri-rice-10-lb
Rice & Atta,Sona Masoori,Telugu Foods Sona Masuri Rice 20 LB,$25.99 ,$22.99 ,https://instamandi.com/products/telugu-foods-sona-masuri-rice-20-lb
Rice & Atta,Sona Masoori,Telugu Foods Crystal Sona Masuri Rice 20 LB,$28.99 ,$28.99 ,https://instamandi.com/products/telugu-foods-crystal-sona-masuri-rice-20-lb
Rice & Atta,Sona Masoori,Telugu Foods Brown Sona Masuri Rice 10 LB,$11.99 ,$11.99 ,https://instamandi.com/products/telugu-foods-brown-sona-masuri-rice-10-lb
Rice & Atta,Sona Masoori,Telugu Foods Brown Sona Masuri Rice 20 LB,$25.99 ,$25.99 ,https://instamandi.com/products/telugu-foods-brown-sona-masuri-rice-20-lb
Rice & Atta,Sona Masoori,Royal Organic Sona Masoori Rice 20 Lb,$24.99 ,$24.99 ,https://instamandi.com/products/royal-organic-sona-masoori-20-lb-9-1-kg
Rice & Atta,Sona Masoori,Royal Sona Masoori Rice 20 Lb,$26.99 ,$26.99 ,https://instamandi.com/products/royal-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Laxmi Organic Sona Masoori Rice 10 Lb,$17.99 ,$15.99 ,https://instamandi.com/products/laxmi-organic-sona-masoori-rice-10-lb
Rice & Atta,Sona Masoori,Laxmi Sona Masoori Rice 20 Lb,$23.99 ,$19.99 ,https://instamandi.com/products/laxmi-sona-masoori-rice-20-lb-1
Rice & Atta,Sona Masoori,Laxmi Crystal Sona Masoori Rice 20 LB,$32.99 ,$30.99 ,https://instamandi.com/products/laxmi-crystal-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Deccan Sona Masoori Rice 20 LB,$19.99 ,$19.99 ,https://instamandi.com/products/deccan-sona-masoori-rice-20-lb
